3	En effet, les autres attendent de vous que vous fassiez preuve de plus de tolérance que d'ordinaire, ce qui nécessite que vous vous débarrassiez d'anciens complexes qui polluent votre vie actuelle
4	Bien que vous serez seul juge, vous n'aurez d'autre choix que de vous débarrasser de ces concepts devenus superflus, ou bien d'accepter de les traîner tel un fardeau
4	Vous décèlerez très vite les personnes qui cherchent à influencer autrui pour se prouver leur pouvoir et dans leur intérêt égoïste, et de fait vous allez gagner en indépendance et en aplomb intérieur
2	Des prises de conscience parfois douloureuses peuvent survenir concernant des relations passées, ne vous laissez pas submerger par votre culpabilité, tirez la leçon.Ce transit planétaire vient attiser votre conscience et ajouter à celle-ci un essor nouveau qui va vous permettre de faire éclore certaines de vos possibilités qui étaient jusqu'alors en sommeil
4	En effet, vous éprouverez le besoin viscéral d'aller au fond de choses, plus profondément encore que d'ordinaire
2	Vous ressentez davantage votre nature instinctive, votre créativité vient spontanément en lumière pour vous permettre de vous simplifier l'existence au quotidien
4	C'est votre intelligence émotionnelle qui vous servira de radar en ce sens
3	Vous pouvez éprouver des difficultés à faire preuve d'insouciance dans vos moments de loisirs, vous devrez faire des efforts pour cloisonner les divers pans de votre vie et laisser les armes au vestiaire
3	Vous serez amené à collaborer davantage avec les autres dans le cadre de votre travail, à donner de vous-même pour une collectivité ou un groupement
2	Cette période est idéale pour rénover, réactualiser vos liens, vous consacrer davantage à vos passions et à vos projets personnels, à rechercher l'essence fondamentale de vos motivations.Ce transit planétaire risque néanmoins de provoquer des états mélancoliques et par trop alarmistes du fait que vous prenez trop à coeur les différences entre vos idéaux et la réalité qui vous environne
3	Ce sera quelquefois dans le désordre relationnel que vous tirerez votre épingle du jeu, votre droiture morale vous fait apprécier de tous.En dépit de ces tendances, cette configuration planétaire est susceptible d'éveiller en vous des tendances à l'isolement, des sensations d'exclusion, de rejets pas toujours fondés
3	Cette période est favorable à un changement de carrière en ce sens, ou si vous envisagiez un changement familial
4	Vous aurez à coeur d'approfondir votre compréhension et d'en affiner les rouages pour parvenir à saisir l'essentiel des êtres et des situations plus rapidement
2	Vous risquez de vous isoler, de vous sentir incompris et d'exagérer ainsi votre timidité naturelle qui peut devenir une barrière infranchissable pour qui que ce soit.Ce transit planétaire ouvre pour vous une période qui sera riche en ce qui concerne votre compréhension du monde et de ses divers rouages
4	Dans ce dernier cas, la fuite de ces douleurs peut vous mener à des problèmes plus lourds encore, au sens où vous aurez tendance à saboter vos relations avec autrui par votre refus de vous délester d'un passé désormais révolu
3	Vous éprouvez un besoin croissant de vous frotter à des mentalités différentes de la vôtre, de développer votre compréhension afin d'enrichir vos conceptions personnelles
4	Plus que jamais, vous irez au-delà des apparences et vous rechercherez la compagnie de ceux qui ne se contentent pas d'apparences
4	Vous vous émanciperez de certaines entraves du passé, ce qui vous fera gagner en clarté sur les choix essentiels que vous aurez à prendre pour vous-même.Cette configuration planétaire met également l'accent sur le fait que vous êtes susceptible de passer par des moments rendus douloureux à cause des renoncements indispensables que vous aurez à faire sur certains points
